,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
43768,22000058,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,38:01,10.0,18.0,0.556,2.0,6.0,0.333,4.0,4.0,1.0,2.0,11.0,13.0,10.0,3.0,1.0,4.0,3.0,26.0,-5.0
44015,22000051,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,24:14,3.0,9.0,0.333,0.0,2.0,0.0,3.0,5.0,0.6,0.0,6.0,6.0,6.0,3.0,0.0,2.0,2.0,9.0,23.0
44428,22000036,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,31:59,9.0,15.0,0.6,1.0,5.0,0.2,8.0,13.0,0.615,2.0,11.0,13.0,5.0,3.0,0.0,3.0,3.0,27.0,-13.0
44885,22000006,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,26:42,4.0,14.0,0.286,0.0,3.0,0.0,7.0,15.0,0.467,4.0,9.0,13.0,4.0,0.0,0.0,2.0,2.0,15.0,26.0
45099,22000003,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,36:24,13.0,26.0,0.5,3.0,8.0,0.375,6.0,8.0,0.75,2.0,11.0,13.0,2.0,0.0,2.0,7.0,5.0,35.0,-1.0
45747,22000643,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,33:39,9.0,18.0,0.5,2.0,5.0,0.4,6.0,7.0,0.857,0.0,8.0,8.0,15.0,0.0,0.0,3.0,2.0,26.0,21.0
46284,22000618,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,42:50,13.0,22.0,0.591,1.0,5.0,0.2,5.0,8.0,0.625,1.0,14.0,15.0,5.0,0.0,0.0,6.0,3.0,32.0,5.0
46726,22000603,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,35:43,12.0,19.0,0.632,1.0,2.0,0.5,6.0,6.0,1.0,2.0,13.0,15.0,10.0,3.0,1.0,3.0,3.0,31.0,21.0
47245,22000589,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,36:11,12.0,19.0,0.632,2.0,4.0,0.5,7.0,8.0,0.875,2.0,9.0,11.0,11.0,1.0,1.0,4.0,3.0,33.0,18.0
47731,22000573,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,29:23,8.0,12.0,0.667,1.0,1.0,1.0,7.0,7.0,1.0,3.0,7.0,10.0,10.0,1.0,1.0,3.0,2.0,24.0,34.0
48038,22000555,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,36:14,10.0,19.0,0.526,1.0,1.0,1.0,5.0,9.0,0.556,2.0,9.0,11.0,8.0,2.0,1.0,4.0,4.0,26.0,9.0
48535,22000540,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,32:59,10.0,15.0,0.667,0.0,3.0,0.0,7.0,10.0,0.7,0.0,8.0,8.0,3.0,1.0,2.0,3.0,4.0,27.0,-5.0
48763,22000520,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,39:55,15.0,27.0,0.556,2.0,7.0,0.286,4.0,6.0,0.667,4.0,10.0,14.0,5.0,1.0,4.0,4.0,2.0,36.0,4.0
49516,22000503,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,37:52,14.0,27.0,0.519,2.0,5.0,0.4,8.0,10.0,0.8,2.0,8.0,10.0,4.0,0.0,1.0,1.0,0.0,38.0,-2.0
