,GAME_DATE_EST,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,TEAM_ID,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,MIN,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PTS,PLUS_MINUS,colscatt
74,2021-06-10,42000213,1610612749,1610612751,2020,86.0,0.378,0.632,0.194,12.0,56.0,83.0,0.362,0.875,0.25,15.0,50.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,43.0,31.0,0.452,1.0,8.0,0.125,4.0,9.0,0.444,2.0,12.0,14.0,2.0,0.0,0.0,5.0,33.0,5.0,1.9000000000000001
79,2021-05-24,42000122,1610612749,1610612748,2020,132.0,0.489,0.9,0.415,34.0,61.0,98.0,0.402,0.6859999999999999,0.286,20.0,36.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,31.0,23.0,0.522,1.0,7.0,0.143,6.0,7.0,0.857,6.0,7.0,13.0,6.0,3.0,1.0,2.0,31.0,19.0,1.9500000000000002
80,2021-05-22,42000121,1610612749,1610612748,2020,109.0,0.4379999999999999,0.606,0.161,19.0,64.0,107.0,0.364,0.789,0.4,22.0,51.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,45.0,27.0,0.37,0.0,3.0,0.0,6.0,13.0,0.462,6.0,12.0,18.0,5.0,3.0,0.0,5.0,26.0,2.0,2.0
81,2021-05-15,22001062,1610612749,1610612748,2020,122.0,0.535,0.708,0.371,29.0,48.0,108.0,0.417,0.75,0.449,25.0,38.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,33.0,12.0,0.5,1.0,3.0,0.3329999999999999,2.0,6.0,0.3329999999999999,0.0,9.0,9.0,4.0,0.0,1.0,1.0,15.0,19.0,2.0500000000000003
83,2021-05-11,22001038,1610612749,1610612753,2020,114.0,0.426,0.741,0.242,16.0,63.0,102.0,0.415,0.7,0.3329999999999999,18.0,52.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,32.0,18.0,0.611,0.0,3.0,0.0,5.0,8.0,0.625,2.0,10.0,12.0,5.0,3.0,0.0,2.0,27.0,14.0,2.1
85,2021-05-07,22001006,1610612749,1610612745,2020,141.0,0.537,0.87,0.413,30.0,53.0,133.0,0.5,0.667,0.472,36.0,37.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,28.0,11.0,0.727,0.0,3.0,0.0,1.0,2.0,0.5,0.0,11.0,11.0,7.0,2.0,1.0,1.0,17.0,5.0,2.15
86,2021-05-05,22000235,1610612749,1610612764,2020,135.0,0.539,0.75,0.486,30.0,45.0,134.0,0.49,0.7440000000000001,0.364,27.0,43.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,29.0,15.0,0.5329999999999999,0.0,2.0,0.0,7.0,8.0,0.875,2.0,7.0,9.0,8.0,0.0,2.0,6.0,23.0,-1.0,2.2
87,2021-05-04,22000985,1610612749,1610612751,2020,124.0,0.449,0.815,0.3779999999999999,23.0,55.0,118.0,0.488,0.615,0.465,21.0,39.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,37.0,30.0,0.367,4.0,12.0,0.3329999999999999,10.0,12.0,0.833,2.0,10.0,12.0,4.0,1.0,0.0,5.0,36.0,8.0,2.25
88,2021-05-02,22000967,1610612749,1610612751,2020,117.0,0.49,0.5,0.405,19.0,45.0,114.0,0.427,0.882,0.405,18.0,53.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,35.0,36.0,0.583,4.0,8.0,0.5,3.0,6.0,0.5,1.0,7.0,8.0,4.0,1.0,3.0,1.0,49.0,5.0,2.3000000000000003
92,2021-04-24,22000905,1610612749,1610612755,2020,132.0,0.516,0.667,0.45,33.0,55.0,94.0,0.3779999999999999,0.735,0.226,15.0,41.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,23.0,12.0,0.75,1.0,3.0,0.3329999999999999,5.0,10.0,0.5,1.0,13.0,14.0,7.0,2.0,1.0,4.0,24.0,18.0,2.35
